index	timestamp	hour	solar_dahead_utc	wind_on_dahead_utc	alpha	beta
137	20181106_170000	17	125	10329	19.9455122	0.005170776
138	20181106_180000	18	45	10349	36.08547496	0.007014901
139	20181106_190000	19	25	10439	42.93965888	0.007056579
140	20181106_200000	20	21	10607	45.77036361	0.006686452
141	20181106_210000	21	12	10866	43.54320924	0.006953385
142	20181106_220000	22	13	11111	33.74683635	0.007349577
143	20181106_230000	23	11	10945	20.21203254	0.004876475
144	20181107_000000	0	7	11059	43.19703989	0.005991921
145	20181107_010000	1	8	11135	31.76087023	0.005536702
146	20181107_020000	2	10	11182	24.55483898	0.004873137
147	20181107_030000	3	12	11313	19.26647696	0.00445029
148	20181107_040000	4	11	11389	16.62153689	0.004269148
149	20181107_050000	5	10	11433	16.68196911	0.004091397
150	20181107_060000	6	18	11047	21.09585609	0.004322761
151	20181107_070000	7	270	10533	25.16077267	0.004798231
152	20181107_080000	8	849	9956	30.48467485	0.004779208
153	20181107_090000	9	1389	9685	36.27624633	0.004747131
154	20181107_100000	10	1768	9463	40.26198118	0.004621435
155	20181107_110000	11	1943	9223	41.64346545	0.004514333
156	20181107_120000	12	1960	8383	45.94581747	0.004827508
157	20181107_130000	13	1828	7479	47.30242542	0.004773769
158	20181107_140000	14	1531	6561	46.72206494	0.004799345
159	20181107_150000	15	990	5476	49.33265258	0.004395311
160	20181107_160000	16	374	4503	51.54361265	0.003451375
161	20181107_170000	17	97	3719	51.87253862	0.001772439
162	20181107_180000	18	29	3431	52.54095013	0.001120615
163	20181107_190000	19	16	3234	54.68870083	0.001123434
164	20181107_200000	20	14	3107	56.44518376	0.001258541
165	20181107_210000	21	15	3043	54.92803923	0.001108854
166	20181107_220000	22	13	3025	52.84339785	0.001023736
167	20181107_230000	23	12	3056	55.14371868	0.001633886
168	20181108_000000	0	8	3254	69.46797899	0.002915683
169	20181108_010000	1	8	3563	65.55937969	0.003039724
170	20181108_020000	2	9	3916	61.27742165	0.00283262
171	20181108_030000	3	8	4424	55.43050391	0.002213207
172	20181108_040000	4	8	4931	54.12443023	0.003399468
173	20181108_050000	5	7	5417	52.72387416	0.004351193
174	20181108_060000	6	15	5833	50.3384111	0.005419411
175	20181108_070000	7	230	6308	39.94916146	0.004860486
176	20181108_080000	8	748	6769	41.90144819	0.004722753
177	20181108_090000	9	1245	7446	44.61016382	0.006522054
178	20181108_100000	10	1583	8192	40.81185218	0.004690669
179	20181108_110000	11	1737	8936	33.14080678	0.004692087
180	20181108_120000	12	1723	8824	30.68333244	0.004662193
181	20181108_130000	13	1574	8538	27.80238199	0.004510626
182	20181108_140000	14	1294	8173	24.45230429	0.004234478
183	20181108_150000	15	806	7900	24.85536533	0.004325817
184	20181108_160000	16	290	7587	26.37582601	0.00465652
185	20181108_170000	17	74	7360	30.45997884	0.004764702
186	20181108_180000	18	16	7493	35.95501114	0.004897061
187	20181108_190000	19	16	7683	43.23578972	0.004744481
188	20181108_200000	20	16	7958	47.5903984	0.004890006
189	20181108_210000	21	16	8022	45.75777107	0.004996554
190	20181108_220000	22	18	8133	39.74004682	0.005253545
191	20181108_230000	23	6	8275	35.91356179	0.005337394
192	20181109_000000	0	4	8397	53.30546158	0.002584176
193	20181109_010000	1	6	8781	50.39579839	0.003181202
194	20181109_020000	2	9	9170	45.81192632	0.003567685
195	20181109_030000	3	11	9663	42.85078826	0.00553982
196	20181109_040000	4	11	10110	40.2446052	0.006842044
197	20181109_050000	5	11	10545	34.3331506	0.006683151
198	20181109_060000	6	26	10813	28.84206957	0.006610586
199	20181109_070000	7	405	10995	22.49942038	0.004899184
200	20181109_080000	8	1177	11137	19.01652689	0.004201607
201	20181109_090000	9	2104	11329	23.64009536	0.004891143
202	20181109_100000	10	2741	11539	18.73329818	0.004016228
203	20181109_110000	11	2952	11760	11.31931547	0.002046807
204	20181109_120000	12	2877	12002	9.734445918	0.001809705
205	20181109_130000	13	2589	12028	8.00506209	0.001562005
206	20181109_140000	14	2099	12027	5.406977803	0.001140346
207	20181109_150000	15	1398	11881	5.373735856	0.001137244
208	20181109_160000	16	573	11691	6.452740923	0.001382689
209	20181109_170000	17	181	11512	8.272816875	0.001566488
210	20181109_180000	18	59	11595	15.14373138	0.003374242
211	20181109_190000	19	31	11675	24.46645292	0.005034779
212	20181109_200000	20	23	11811	26.63453673	0.005102449
213	20181109_210000	21	20	11972	21.10603239	0.004683159
214	20181109_220000	22	18	12000	15.88263723	0.003629012
215	20181109_230000	23	11	12442	10.03545582	0.00181338
216	20181110_000000	0	9	12454	46.03601759	0.005858503
217	20181110_010000	1	9	12439	36.37604282	0.00842272
218	20181110_020000	2	10	12350	19.9744605	0.004604699
219	20181110_030000	3	10	12292	7.469823173	0.001484897
220	20181110_040000	4	9	12250	6.587772092	0.001531584
221	20181110_050000	5	6	12185	2.486944665	0.000389932
222	20181110_060000	6	12	12002	1.699078517	0.000301805
223	20181110_070000	7	203	11814	1.775128995	0.000475552
224	20181110_080000	8	738	11661	1.972949002	0.000492736
225	20181110_090000	9	1252	11785	1.223925136	0.00016809
226	20181110_100000	10	1588	12067	1.72809822	0.000186812
227	20181110_110000	11	1737	12266	1.705081598	0.000186714
228	20181110_120000	12	1666	12180	1.640413906	0.000164772
229	20181110_130000	13	1489	12066	1.711560426	0.000186376
230	20181110_140000	14	1194	11874	1.597480141	0.000153344
231	20181110_150000	15	705	11557	1.257297542	0.000131992
232	20181110_160000	16	217	11201	1.219074001	0.000127388
233	20181110_170000	17	64	10914	1.53877307	0.000182085
234	20181110_180000	18	26	10726	2.595485481	0.000561829
235	20181110_190000	19	15	10606	7.177669687	0.002255347
236	20181110_200000	20	11	10426	10.28508471	0.002660654
237	20181110_210000	21	13	10270	10.30073909	0.002729679
238	20181110_220000	22	13	10143	7.807760334	0.002231803
239	20181110_230000	23	17	10433	7.267708158	0.00206401
240	20181111_000000	0	13	10152	50.29359118	0.003277824
241	20181111_010000	1	13	9882	49.96152111	0.006775658
242	20181111_020000	2	8	9703	45.06174023	0.007869176
243	20181111_030000	3	7	9348	36.42688985	0.008225103
244	20181111_040000	4	6	9022	29.66719454	0.007429942
245	20181111_050000	5	5	8652	19.40676075	0.005021841
246	20181111_060000	6	16	8275	5.876811766	0.001590685
247	20181111_070000	7	229	7929	1.594539237	0.000285204
248	20181111_080000	8	833	7506	2.994805292	0.000769521
249	20181111_090000	9	1456	7136	1.566251353	0.000235283
250	20181111_100000	10	1941	6818	6.013052328	0.002716454
251	20181111_110000	11	2291	6533	9.802415173	0.003318057
252	20181111_120000	12	2366	6427	12.19643712	0.003437262
253	20181111_130000	13	2298	6274	15.55188882	0.00409256
254	20181111_140000	14	2040	6200	12.42427168	0.003568092
255	20181111_150000	15	1458	6149	9.66636715	0.003575733
256	20181111_160000	16	579	6160	9.479668094	0.003777046
257	20181111_170000	17	189	6352	14.89981911	0.004339647
258	20181111_180000	18	77	6628	30.1277087	0.006001353
259	20181111_190000	19	46	6837	42.68358687	0.006372869
260	20181111_200000	20	36	6964	47.54834261	0.005137926
261	20181111_210000	21	27	6996	47.8231836	0.004904974
262	20181111_220000	22	29	7054	48.20858993	0.00603163
263	20181111_230000	23	18	7738	47.95647727	0.00670136
264	20181112_000000	0	12	7376	65.09734857	0.003322224
265	20181112_010000	1	10	6745	60.71484487	0.0031364
266	20181112_020000	2	10	6008	57.68109515	0.002691583
267	20181112_030000	3	6	5295	54.64431518	0.002059084
268	20181112_040000	4	6	4501	53.36282965	0.001783227
269	20181112_050000	5	15	3867	52.81792023	0.001764551
270	20181112_060000	6	63	3321	52.86881376	0.001713796
271	20181112_070000	7	237	2896	50.75593128	0.001441866
272	20181112_080000	8	737	2545	49.95808593	0.001164636
273	20181112_090000	9	1202	2450	51.21689203	0.001099006
274	20181112_100000	10	1577	2360	52.23433821	0.001237172
275	20181112_110000	11	1743	2295	52.38865389	0.001226928
276	20181112_120000	12	1764	2171	52.80900655	0.00123437
277	20181112_130000	13	1596	2064	52.7935368	0.001238554
278	20181112_140000	14	1236	1979	51.81656334	0.001122782
279	20181112_150000	15	774	1857	51.88638881	0.001134069
280	20181112_160000	16	298	1781	51.64418386	0.001117996
281	20181112_170000	17	77	1644	52.33293769	0.001196434
282	20181112_180000	18	39	1599	54.05734762	0.001284763
283	20181112_190000	19	18	1555	55.43108942	0.001304173
284	20181112_200000	20	11	1583	56.28680639	0.001283812
285	20181112_210000	21	11	1649	54.86879769	0.001288683
286	20181112_220000	22	12	1711	53.6635537	0.001357546
287	20181112_230000	23	15	1459	51.94740422	0.0014074
288	20181113_000000	0	10	1522	69.71918618	0.002634585
289	20181113_010000	1	12	1727	66.82732968	0.002774122
290	20181113_020000	2	11	1902	63.15457321	0.002597227
291	20181113_030000	3	16	2152	58.56258227	0.002063564
292	20181113_040000	4	16	2400	56.04980901	0.001719805
293	20181113_050000	5	17	2713	54.19932798	0.001480798
294	20181113_060000	6	64	2889	53.80677785	0.001589765
295	20181113_070000	7	211	2989	52.09145038	0.001240839
296	20181113_080000	8	960	3048	51.57982519	0.001119433
297	20181113_090000	9	1798	2960	51.6515916	0.001013915
298	20181113_100000	10	2464	2885	51.74065178	0.000981399
299	20181113_110000	11	2907	2838	51.61520947	0.001008274
300	20181113_120000	12	3035	2809	51.50720827	0.000943887
301	20181113_130000	13	2913	3024	51.45660762	0.000998264
302	20181113_140000	14	2505	3237	50.99628151	0.001212607
303	20181113_150000	15	1740	3443	50.95556723	0.001281636
304	20181113_160000	16	745	3703	50.89706497	0.001282581
305	20181113_170000	17	239	4018	51.09140411	0.001143754
306	20181113_180000	18	83	4139	51.69435371	0.000907448
307	20181113_190000	19	62	4179	52.3036466	0.000778902
308	20181113_200000	20	51	4297	53.30805233	0.0008527
309	20181113_210000	21	32	4333	52.54703953	0.000794414
310	20181113_220000	22	26	4296	53.06228712	0.001133079
311	20181113_230000	23	15	4079	52.42696129	0.001639839
312	20181114_000000	0	16	4199	62.94890488	0.00257138
313	20181114_010000	1	16	4357	58.76306415	0.002140817
314	20181114_020000	2	15	4495	54.67069494	0.001480618
315	20181114_030000	3	15	4632	52.89896951	0.001515172
316	20181114_040000	4	13	4724	52.33589852	0.00166793
317	20181114_050000	5	16	4785	52.35439766	0.001812395
318	20181114_060000	6	36	4791	52.47154851	0.002799165
319	20181114_070000	7	183	4775	51.83870311	0.002147728
320	20181114_080000	8	825	4772	51.34519654	0.001957187
321	20181114_090000	9	1546	4889	50.8844921	0.001674682
322	20181114_100000	10	2206	5091	50.88468813	0.001665835
323	20181114_110000	11	2557	5314	51.33477118	0.002088764
324	20181114_120000	12	2554	5237	51.11908475	0.002167169
325	20181114_130000	13	2346	5191	50.88262627	0.002158386
